city,datetime,timezone,discharge,gauge_lvl
Mount Vernon,2020-02-03 23:15,PST,36200,21.63
Mount Vernon,2020-02-03 23:30,PST,36200,21.62
Mount Vernon,2020-02-03 23:45,PST,36000,21.57
Mount Vernon,2020-02-04 00:00,PST,35900,21.54
Mount Vernon,2020-02-04 00:15,PST,35800,21.51
Mount Vernon,2020-02-04 00:30,PST,35600,21.46
Mount Vernon,2020-02-04 00:45,PST,35500,21.43
Mount Vernon,2020-02-04 01:00,PST,35400,21.4
Mount Vernon,2020-02-04 01:15,PST,35300,21.39
Mount Vernon,2020-02-04 01:30,PST,35200,21.34
Mount Vernon,2020-02-04 01:45,PST,34900,21.28
Mount Vernon,2020-02-04 02:00,PST,34900,21.28
Mount Vernon,2020-02-04 02:15,PST,34800,21.25
Mount Vernon,2020-02-04 02:30,PST,34600,21.19
Mount Vernon,2020-02-04 02:45,PST,34600,21.18
Mount Vernon,2020-02-04 03:00,PST,34500,21.15
Mount Vernon,2020-02-04 03:15,PST,34400,21.13
Mount Vernon,2020-02-04 03:30,PST,34200,21.09
Mount Vernon,2020-02-04 03:45,PST,34200,21.08
Mount Vernon,2020-02-04 04:00,PST,34100,21.04
Mount Vernon,2020-02-04 04:15,PST,34000,21.01
Mount Vernon,2020-02-04 04:30,PST,33800,20.98
Mount Vernon,2020-02-04 04:45,PST,33700,20.95
Mount Vernon,2020-02-04 05:00,PST,33700,20.93
Mount Vernon,2020-02-04 05:15,PST,33600,20.91
Mount Vernon,2020-02-04 05:30,PST,33500,20.89
Mount Vernon,2020-02-04 05:45,PST,33300,20.84
Mount Vernon,2020-02-04 06:00,PST,33300,20.82
Mount Vernon,2020-02-04 06:15,PST,33200,20.8
Mount Vernon,2020-02-04 06:30,PST,33100,20.77
Mount Vernon,2020-02-04 06:45,PST,33100,20.76
Mount Vernon,2020-02-04 07:00,PST,32900,20.73
Mount Vernon,2020-02-04 07:15,PST,32800,20.69
Mount Vernon,2020-02-04 07:30,PST,32700,20.67
Mount Vernon,2020-02-04 07:45,PST,32700,20.65
Mount Vernon,2020-02-04 08:00,PST,32600,20.63
Mount Vernon,2020-02-04 08:15,PST,32500,20.6
Mount Vernon,2020-02-04 08:30,PST,32400,20.57
Mount Vernon,2020-02-04 08:45,PST,32300,20.56
Mount Vernon,2020-02-04 09:00,PST,32300,20.55
Mount Vernon,2020-02-04 09:15,PST,32200,20.51
Mount Vernon,2020-02-04 09:30,PST,32100,20.49
Mount Vernon,2020-02-04 09:45,PST,32000,20.47
Mount Vernon,2020-02-04 10:00,PST,31900,20.43
Mount Vernon,2020-02-04 10:15,PST,31800,20.4
